Name,Team,Pos,A
Aaron Hill,Blue Jays,2B,484
Miguel Tejada,Astros,SS,475
Ian Kinsler,Rangers,2B,451
Placido Polanco,Tigers,2B,439
Troy Tulowitzki,Rockies,SS,433
Brian Roberts,Orioles,2B,432
Orlando Cabrera,- - -,SS,428
Dan Uggla,Marlins,2B,426
Robinson Cano,Yankees,2B,424
Marco Scutaro,Blue Jays,SS,421
Rafael Furcal,Dodgers,SS,419
Felipe Lopez,- - -,2B,419
Clint Barmes,Rockies,2B,413
Ryan Theriot,Cubs,SS,411
Alexei Ramirez,White Sox,SS,410
Brandon Phillips,Reds,2B,409
Yunel Escobar,Braves,SS,409
Chase Utley,Phillies,2B,408
Elvis Andrus,Rangers,SS,407
Dustin Pedroia,Red Sox,2B,404
Jimmy Rollins,Phillies,SS,389
Alberto Callaspo,Royals,2B,379
Erick Aybar,Angels,SS,378
Kaz Matsui,Astros,2B,373
Stephen Drew,Diamondbacks,SS,362
Orlando Hudson,Dodgers,2B,359
Cristian Guzman,Nationals,SS,353
Jose Lopez,Mariners,2B,351
Hanley Ramirez,Marlins,SS,349
Skip Schumaker,Cardinals,2B,347
Luis Castillo,Mets,2B,344
Derek Jeter,Yankees,SS,340
Yuniesky Betancourt,- - -,SS,340
Jason Bartlett,Rays,SS,339
Cesar Izturis,Orioles,SS,337
David Eckstein,Padres,2B,326
Ryan Zimmerman,Nationals,3B,325
Andy LaRoche,Pirates,3B,321
J.J. Hardy,Brewers,SS,318
Jack Wilson,- - -,SS,317
Chone Figgins,Angels,3B,314
Pedro Feliz,Phillies,3B,312
Evan Longoria,Rays,3B,302
Edgar Renteria,Giants,SS,299
Freddy Sanchez,- - -,2B,289
Mark Ellis,Athletics,2B,285
Adam Everett,Tigers,SS,282
Brandon Inge,Tigers,3B,281
Alex Gonzalez,- - -,SS,270
Casey Blake,Dodgers,3B,263
Melvin Mora,Orioles,3B,254
Mark Reynolds,Diamondbacks,3B,240
Scott Rolen,- - -,3B,232
Adrian Beltre,Mariners,3B,224
David Wright,Mets,3B,224
Kevin Kouzmanoff,Padres,3B,214
Jhonny Peralta,Indians,3B,211
Chipper Jones,Braves,3B,208
Michael Young,Rangers,3B,208
Alex Rodriguez,Yankees,3B,200
Pablo Sandoval,Giants,3B,195
Albert Pujols,Cardinals,1B,185
Adrian Gonzalez,Padres,1B,136
Lance Berkman,Astros,1B,116
Adam LaRoche,- - -,1B,108
Miguel Cabrera,Tigers,1B,105
Lyle Overbay,Blue Jays,1B,102
Joey Votto,Reds,1B,101
Todd Helton,Rockies,1B,96
Ryan Howard,Phillies,1B,95
Derrek Lee,Cubs,1B,94
Billy Butler,Royals,1B,92
Nick Johnson,- - -,1B,91
Justin Morneau,Twins,1B,90
Russell Martin,Dodgers,C,87
Kendry Morales,Angels,1B,86
James Loney,Dodgers,1B,85
Yadier Molina,Cardinals,C,82
Paul Konerko,White Sox,1B,79
Gerald Laird,Tigers,C,78
Bengie Molina,Giants,C,77
Russell Branyan,Mariners,1B,74
Carlos Pena,Rays,1B,71
Kurt Suzuki,Athletics,C,68
Prince Fielder,Brewers,1B,66
Jason Kendall,Brewers,C,61
Miguel Montero,Diamondbacks,C,60
Brian McCann,Braves,C,58
Rod Barajas,Blue Jays,C,55
Ivan Rodriguez,- - -,C,52
A.J. Pierzynski,White Sox,C,50
Mark Teixeira,Yankees,1B,49
Dioner Navarro,Rays,C,47
Jason Varitek,Red Sox,C,37
Joe Mauer,Twins,C,31
Hunter Pence,Astros,RF,16
Jason Bay,Red Sox,LF,15
Matt Kemp,Dodgers,CF,14
David DeJesus,Royals,LF,13
Nick Markakis,Orioles,RF,13
Nelson Cruz,Rangers,RF,11
Michael Bourn,Astros,CF,11
Shin-Soo Choo,Indians,RF,11
Jeff Francoeur,- - -,RF,11
Juan Rivera,Angels,LF,10
Jayson Werth,Phillies,RF,10
Andrew McCutchen,Pirates,CF,10
Bobby Abreu,Angels,RF,10
Raul Ibanez,Phillies,LF,9
Nate McLouth,- - -,CF,9
Ryan Ludwick,Cardinals,RF,9
Adam Jones,Orioles,CF,9
Carlos Lee,Astros,LF,9
Jermaine Dye,White Sox,RF,9
Shane Victorino,Phillies,CF,8
Ryan Braun,Brewers,LF,8
Matt Holliday,- - -,LF,7
Alfonso Soriano,Cubs,LF,7
Franklin Gutierrez,Mariners,CF,6
Carl Crawford,Rays,LF,6
B.J. Upton,Rays,CF,6
Johnny Damon,Yankees,LF,6
Andre Ethier,Dodgers,RF,6
Vernon Wells,Blue Jays,CF,6
J.D. Drew,Red Sox,RF,5
Ichiro Suzuki,Mariners,RF,5
Aaron Rowand,Giants,CF,5
Milton Bradley,Cubs,RF,5
Chase Headley,Padres,LF,5
Dexter Fowler,Rockies,CF,5
Michael Cuddyer,Twins,RF,5
Jacoby Ellsbury,Red Sox,CF,5
Mike Cameron,Brewers,CF,4
Justin Upton,Diamondbacks,RF,4
Curtis Granderson,Tigers,CF,4
Alex Rios,- - -,RF,4
Kosuke Fukudome,Cubs,CF,4
Garret Anderson,Braves,LF,4
Brad Hawpe,Rockies,RF,4
Colby Rasmus,Cardinals,CF,3
Corey Hart,Brewers,RF,3
Chris Young,Diamondbacks,CF,3
Chris Coghlan,Marlins,LF,3
Nick Swisher,Yankees,RF,2
Torii Hunter,Angels,CF,2
