mlbamID,playerName,team,S,2010,2009,Avg,Closer
407816,J.J. Putz,ARI,26,3,2,2.5,Y
434641,Juan Gutierrez,ARI,12,15,9,12,
408310,Aaron Heilman,ARI,4,6,1,3.5,
458924,Jonny Venters,ATL,12,1,0,0.5,?
518886,Craig Kimbrel,ATL,22,1,0,0.5,
493247,Peter Moylan,ATL,0,1,0,0.5,
276514,Kevin Gregg,BAL,23,37,23,30,
493157,Koji Uehara,BAL,21,13,0,6.5,?
462382,Jim Johnson,BAL,6,1,10,5.5,
283166,Mike Gonzalez,BAL,6,1,10,5.5,
449097,Jonathan Papelbon,BOS,36,37,38,37.5,Y
408057,Bobby Jenks,BOS,9,27,29,28,
235095,Dan Wheeler,BOS,3,3,2,2.5,
453268,Daniel Bard,BOS,2,3,1,2,
461791,Carlos Marmol,CHC,33,38,15,26.5,Y
134268,Kerry Wood,CHC,11,8,20,14,
150188,Francisco Cordero,CIN,39,40,39,39.5,Y
453198,Chris Perez,CLE,21,23,2,12.5,?
434718,Huston Street,COL,28,20,35,27.5,Y
434637,Matt Lindstrom,COL,12,23,15,19,
466918,Manuel Corpas,COL,6,10,1,5.5,
462985,Franklin Morales,COL,5,3,7,5,
429783,Rafael Betancourt,COL,2,1,2,1.5,
407819,Matt Thornton,CWS,29,8,4,6,?
519242,Chris Sale,CWS,7,4,0,2,
407878,Jose Valverde,DET,26,26,25,25.5,Y
276542,Joaquin Benoit,DET,8,,,,
457435,Phil Coke,DET,0,2,2,2,
451491,Joel Zumaya,DET,1,1,1,1,
543634,Ryan Perry,DET,0,2,0,1,
434663,Leo Nunez,FLA,28,30,26,28,Y
454535,Clay Hensley,FLA,9,7,0,3.5,
407193,Brandon Lyon,HOU,24,20,3,11.5,Y
465657,Joakim Soria,KC,37,43,30,36.5,Y
407845,Fernando Rodney,LAA,26,14,37,25.5,Y
275933,Scott Downs,LAA,5,0,9,4.5,
538227,Hisanori Takahashi,LAA,4,8,0,4,
455009,Jonathan Broxton,LAN,29,22,36,29,?
425539,Hong-Chih Kuo,LAN,6,12,0,6,
445276,Kenley Jansen,LAN,2,4,0,2,
407825,Matt Guerrier,LAN,1,1,1,1,
430613,Ronald Belisario,LAN,0,2,0,1,
446099,John Axford,MIL,28,24,1,12.5,Y
493416,Takashi Saito,MIL,4,1,2,1.5,
150274,Joe Nathan,MIN,36,0,47,23.5,Y
448165,Matt Capps,MIN,8,42,27,34.5,
408061,Francisco Rodriguez,NYM,30,25,35,30,
121250,Mariano Rivera,NYY,31,33,44,38.5,Y
400089,Rafael Soriano,NYY,12,45,27,36,
501955,Joba Chamberlain,NYY,2,3,0,1.5,
469686,Alfredo Aceves,NYY,1,1,1,1,
502085,David Robertson,NYY,1,1,1,1,
457732,Andrew Bailey,OAK,26,25,26,25.5,Y
150118,Brian Fuentes,OAK,12,24,48,36,
430900,Michael Wuertz,OAK,5,6,4,5,
444520,Craig Breslow,OAK,3,5,0,2.5,
400058,Brad Lidge,PHI,29,27,31,29,Y
425492,Ryan Madson,PHI,8,5,10,7.5,
240694,J.C. Romero,PHI,2,3,0,1.5,
425747,Jose Contreras,PHI,2,4,0,2,
457425,Evan Meek,PIT,12,4,0,2,?
430629,Joel Hanrahan,PIT,25,6,5,5.5,
425514,Heath Bell,SD,45,47,42,44.5,Y
502381,Luke Gregerson,SD,2,2,1,1.5,
430589,Chad Qualls,SD,2,12,24,18,
430911,David Aardsma,SEA,33,31,38,34.5,
434181,Brandon League,SEA,9,6,0,3,
451216,Brian Wilson,SF,43,48,38,43,Y
430673,Ramon Ramirez,SF,2,3,0,1.5,
346793,Jeremy Affeldt,SF,2,4,0,2,
433586,Santiago Casilla,SF,0,2,0,1,
211041,Ryan Franklin,STL,33,27,38,32.5,Y
449072,Kyle McClellan,STL,3,2,3,2.5,
121096,Dennys Reyes,STL,1,1,1,1,
435400,Jason Motte,STL,0,2,0,1,
150035,Kyle Farnsworth,TB,9,,,,
407908,Joel Peralta,TB,16,,,,
459429,Jake McGee,TB,4,,,,
491703,Neftali Feliz,TEX,32,40,2,21,Y
457448,Matt Harrison,TEX,0,2,0,1,
407911,Frank Francisco,TOR,21,2,25,13.5,
136734,Octavio Dotel,TOR,15,22,0,11,Y
400010,Jon Rauch,TOR,12,21,2,11.5,
430630,Jason Frasor,TOR,8,4,11,7.5,
425861,Shawn Camp,TOR,2,2,1,1.5,
453646,Carlos Villanueva,TOR,2,1,3,2,
519322,Drew Storen,WAS,28,5,0,2.5,Y
430634,Sean Burnett,WAS,3,3,1,2,
110683,Miguel Batista,,2,2,1,1.5,
116034,Trevor Hoffman,,0,10,37,23.5,
444884,Chris Ray,,0,2,0,1,
123790,Billy Wagner,,0,37,0,18.5,
434442,J.P. Howell,TB,8,,,,
